City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,plettenberg bay,-34.0527,23.3716,15.51,65,100,0.54,ZA,2023-04-22
306,viedma,-40.8135,-62.9967,18.76,34,0,2.34,AR,2023-04-22
307,san rafael,-34.6177,-68.3301,21.14,33,42,4.14,AR,2023-04-22
308,bongandanga,1.5,21.05,21.21,99,100,0.53,CD,2023-04-22
309,port hawkesbury,45.6169,-61.3485,13.02,70,0,6.17,CA,2023-04-22
310,sola,-13.8833,167.55,27.88,77,84,7.95,VU,2023-04-22
311,preeceville,51.95,-102.6677,-0.22,83,100,3.67,CA,2023-04-22
312,nikolskoye,59.7035,30.7861,11.94,66,8,1.94,RU,2023-04-22
313,paredon,16.0333,-93.8667,31.75,52,77,3.86,MX,2023-04-22
314,kaeo,-35.1,173.7833,17.4,96,51,2.03,NZ,2023-04-22
315,raga,8.4596,25.678,29.91,38,100,2.1,SS,2023-04-22
316,srednekolymsk,67.45,153.6833,-7.13,99,96,1.65,RU,2023-04-22
317,muravlenko,63.7898,74.523,0.68,99,100,3.05,RU,2023-04-22
318,marsa matruh,31.3525,27.2453,18.11,82,0,6.17,EG,2023-04-22
319,christchurch,-43.5333,172.6333,13.28,95,100,3.09,NZ,2023-04-22
320,rorvik,64.8621,11.2373,4.99,52,85,7.2,NO,2023-04-22
321,talnakh,69.4865,88.3972,1.23,94,100,6.07,RU,2023-04-22
322,greensburg,40.3015,-79.5389,12.36,90,100,6.26,US,2023-04-22
323,kawalu,-7.3817,108.2082,23.04,98,92,0.46,ID,2023-04-22
324,moindou,-21.6924,165.677,24.1,86,8,0.92,NC,2023-04-22
325,ucluelet,48.9329,-125.5528,9.49,92,100,0.89,CA,2023-04-22
326,rio gallegos,-51.6226,-69.2181,12.03,32,0,3.6,AR,2023-04-22
327,tahta,26.7693,31.5021,31.51,11,70,3.25,EG,2023-04-22
328,azanka,58.0401,64.7893,7.4,86,100,3.12,RU,2023-04-22
329,calabozo,8.9242,-67.4293,27.83,72,100,4.14,VE,2023-04-22
330,grindavik,63.8424,-22.4338,4.97,100,100,3.09,IS,2023-04-22
331,ust-maya,60.4167,134.5333,-7.83,95,89,2.0,RU,2023-04-22
332,odoyev,53.9393,36.6864,9.52,54,34,2.29,RU,2023-04-22
333,mehamn,71.0357,27.8492,-3.03,63,40,7.2,NO,2023-04-22
334,buraydah,26.326,43.975,28.25,21,2,4.28,SA,2023-04-22
335,miles city,46.4083,-105.8406,1.54,60,100,0.0,US,2023-04-22
336,roma,43.2128,-75.4557,21.57,62,0,7.72,US,2023-04-22
337,toledo,39.8333,-4.0,20.19,27,2,7.52,ES,2023-04-22
338,ivanteyevka,55.9711,37.9208,13.3,64,27,2.49,RU,2023-04-22
339,araouane,18.9048,-3.5265,33.72,5,100,7.15,ML,2023-04-22
340,shingu,33.7333,135.9833,9.81,54,63,2.3,JP,2023-04-22
341,san jorge,-31.8962,-61.8598,25.03,29,100,3.18,AR,2023-04-22
342,point fortin,10.1833,-61.6833,31.05,74,79,2.01,TT,2023-04-22
343,jiangyou,31.7667,104.7167,13.22,82,100,0.86,CN,2023-04-22
344,san quintin,30.4833,-115.95,20.74,50,0,2.85,MX,2023-04-22
345,premia de mar,41.4921,2.3652,22.02,77,93,0.89,ES,2023-04-22
346,kaberamaido,1.7389,33.1594,19.9,91,100,2.93,UG,2023-04-22
347,vila velha,-20.3297,-40.2925,24.97,81,75,4.12,BR,2023-04-22
